dataset,model,layer,method,value,speaker
timit,hubert-large-en,8,km_8_mi,1.2503220401052237,False
timit,hubert-large-en,8,km_16_mi,1.7490508660695927,False
timit,hubert-large-en,8,km_32_mi,2.050794164921843,False
timit,hubert-large-en,8,km_64_mi,2.2847392782910143,False
timit,hubert-large-en,8,km_128_mi,2.517331894320417,False
timit,hubert-large-en,8,km_256_mi,2.674525732096494,False
timit,hubert-large-en,8,km_512_mi,2.7822850254781413,False
timit,hubert-large-en,8,km_1024_mi,2.860393718256661,False
timit,hubert-large-en,8,entropy,3.3947674978523117,False
timit,hubert-large-en,8,clf_mi,3.0720391175922903,False
timit,hubert-large-en,9,km_2_mi,0.008690800374220322,True
timit,hubert-large-en,9,km_4_mi,0.032613617247976935,True
timit,hubert-large-en,9,km_8_mi,0.06866421141370753,True
timit,hubert-large-en,9,km_16_mi,0.15073094347989316,True
timit,hubert-large-en,9,km_32_mi,0.30447611730597646,True
timit,hubert-large-en,9,km_64_mi,0.5832558744060958,True
timit,hubert-large-en,9,km_128_mi,0.9961094110245591,True
timit,hubert-large-en,9,km_256_mi,1.5106285552351668,True
timit,hubert-large-en,9,km_512_mi,2.092144442339276,True
timit,hubert-large-en,9,km_1024_mi,2.7008747606959793,True
timit,hubert-large-en,9,entropy,6.438161419540647,True
timit,hubert-large-en,9,clf_mi,6.394210205217221,True
timit,hubert-large-en,9,km_2_mi,0.45251770487885806,False
timit,hubert-large-en,9,km_4_mi,0.758039954758213,False
timit,hubert-large-en,9,km_8_mi,1.3242518550842504,False
timit,hubert-large-en,9,km_16_mi,1.6210658890547565,False
timit,hubert-large-en,9,km_32_mi,2.0471702771335285,False
timit,hubert-large-en,9,km_64_mi,2.322518690950374,False
timit,hubert-large-en,9,km_128_mi,2.53191686991658,False
timit,hubert-large-en,9,km_256_mi,2.6926297903853746,False
timit,hubert-large-en,9,km_512_mi,2.8026460771617345,False
timit,hubert-large-en,9,km_1024_mi,2.8895247998473623,False
timit,hubert-large-en,9,entropy,3.3947674978523117,False
timit,hubert-large-en,9,clf_mi,3.0865808199784777,False
timit,hubert-large-en,10,km_2_mi,0.011308807696547454,True
timit,hubert-large-en,10,km_4_mi,0.027766539348623463,True
timit,hubert-large-en,10,km_8_mi,0.06629005582777876,True
timit,hubert-large-en,10,km_16_mi,0.14001387412421645,True
timit,hubert-large-en,10,km_32_mi,0.30284209701189824,True
timit,hubert-large-en,10,km_64_mi,0.5797687244747739,True
timit,hubert-large-en,10,km_128_mi,0.9922651671247019,True
timit,hubert-large-en,10,km_256_mi,1.522155998568845,True
timit,hubert-large-en,10,km_512_mi,2.0985004505273674,True
timit,hubert-large-en,10,km_1024_mi,2.719735384037204,True
timit,hubert-large-en,10,entropy,6.438161419540647,True
timit,hubert-large-en,10,clf_mi,6.341204494164624,True
timit,hubert-large-en,10,km_2_mi,0.3313896008500736,False
timit,hubert-large-en,10,km_4_mi,0.844123864836773,False
timit,hubert-large-en,10,km_8_mi,1.3453025964703644,False
timit,hubert-large-en,10,km_16_mi,1.6320481059461547,False
timit,hubert-large-en,10,km_32_mi,1.989067966655493,False
timit,hubert-large-en,10,km_64_mi,2.331716265723262,False
timit,hubert-large-en,10,km_128_mi,2.5536873751339804,False
timit,hubert-large-en,10,km_256_mi,2.7535783685140163,False
timit,hubert-large-en,10,km_512_mi,2.852006648199381,False
timit,hubert-large-en,10,km_1024_mi,2.950460307541603,False
timit,hubert-large-en,10,entropy,3.3947674978523117,False
timit,hubert-large-en,10,clf_mi,3.1078412974245873,False
timit,hubert-large-en,11,km_2_mi,0.008450172414650537,True
timit,hubert-large-en,11,km_4_mi,0.02732853568649298,True
timit,hubert-large-en,11,km_8_mi,0.06489407672294466,True
timit,hubert-large-en,11,km_16_mi,0.14797729121130282,True
timit,hubert-large-en,11,km_32_mi,0.29965812177123363,True
timit,hubert-large-en,11,km_64_mi,0.5743139379635945,True
timit,hubert-large-en,11,km_128_mi,0.9879863758724947,True
timit,hubert-large-en,11,km_256_mi,1.5051542661571524,True
timit,hubert-large-en,11,km_512_mi,2.108224018551083,True
timit,hubert-large-en,11,km_1024_mi,2.6945389705248197,True
timit,hubert-large-en,11,entropy,6.438161419540647,True
timit,hubert-large-en,11,clf_mi,6.273244299542958,True
timit,hubert-large-en,11,km_2_mi,0.33418008040617175,False
timit,hubert-large-en,11,km_4_mi,0.8409233346071876,False
timit,hubert-large-en,11,km_8_mi,1.2764978289881597,False
timit,hubert-large-en,11,km_16_mi,1.681406456470142,False
timit,hubert-large-en,11,km_32_mi,1.9869562055091765,False
timit,hubert-large-en,11,km_64_mi,2.3830100712988225,False
timit,hubert-large-en,11,km_128_mi,2.6067462762440456,False
timit,hubert-large-en,11,km_256_mi,2.7849163708717075,False
timit,hubert-large-en,11,km_512_mi,2.9021704545407467,False
timit,hubert-large-en,11,km_1024_mi,2.9876757032138292,False
timit,hubert-large-en,11,entropy,3.3947674978523117,False
timit,hubert-large-en,11,clf_mi,3.1221101285578494,False
timit,hubert-large-en,12,km_2_mi,0.010637081372965406,True
timit,hubert-large-en,12,km_4_mi,0.026699339909852567,True
timit,hubert-large-en,12,km_8_mi,0.06438837099883027,True
timit,hubert-large-en,12,km_16_mi,0.14440276160370244,True
timit,hubert-large-en,12,km_32_mi,0.29972324124744965,True
timit,hubert-large-en,12,km_64_mi,0.5745086449136183,True
timit,hubert-large-en,12,km_128_mi,0.9824009206883253,True
timit,hubert-large-en,12,km_256_mi,1.5003421265312376,True
timit,hubert-large-en,12,km_512_mi,2.087337016353067,True
timit,hubert-large-en,12,km_1024_mi,2.683819814791385,True
timit,hubert-large-en,12,entropy,6.438161419540647,True
timit,hubert-large-en,12,clf_mi,6.215316194150219,True
timit,hubert-large-en,12,km_2_mi,0.3394775957683789,False
timit,hubert-large-en,12,km_4_mi,0.8419595029538331,False
timit,hubert-large-en,12,km_8_mi,1.3512674373557823,False
timit,hubert-large-en,12,km_16_mi,1.660944641678539,False
timit,hubert-large-en,12,km_32_mi,1.9992729968349416,False
timit,hubert-large-en,12,km_64_mi,2.332071442762635,False
timit,hubert-large-en,12,km_128_mi,2.6242720216510578,False
timit,hubert-large-en,12,km_256_mi,2.7908309694016893,False
timit,hubert-large-en,12,km_512_mi,2.893158303267653,False
timit,hubert-large-en,12,km_1024_mi,2.9847198249830864,False
timit,hubert-large-en,12,entropy,3.3947674978523117,False
timit,hubert-large-en,12,clf_mi,3.1248819766036995,False
timit,hubert-large-en,13,km_2_mi,0.00997468698122746,True
timit,hubert-large-en,13,km_4_mi,0.027056345006581085,True
timit,hubert-large-en,13,km_8_mi,0.05847812054267633,True
timit,hubert-large-en,13,km_16_mi,0.13644621948506847,True
timit,hubert-large-en,13,km_32_mi,0.28152800312418574,True
timit,hubert-large-en,13,km_64_mi,0.5475236035171249,True
timit,hubert-large-en,13,km_128_mi,0.9772710734263187,True
timit,hubert-large-en,13,km_256_mi,1.4740849728218834,True
timit,hubert-large-en,13,km_512_mi,2.0555866354464896,True
timit,hubert-large-en,13,km_1024_mi,2.6752548866316133,True
timit,hubert-large-en,13,entropy,6.438161419540647,True
timit,hubert-large-en,13,clf_mi,6.0098956873962885,True
timit,hubert-large-en,13,km_2_mi,0.2846204648778197,False
timit,hubert-large-en,13,km_4_mi,0.622514926945982,False
timit,hubert-large-en,13,km_8_mi,1.0608946968035202,False
timit,hubert-large-en,13,km_16_mi,1.4630987171145846,False
timit,hubert-large-en,13,km_32_mi,1.8913796195697214,False
timit,hubert-large-en,13,km_64_mi,2.2695717470400822,False
timit,hubert-large-en,13,km_128_mi,2.5272020307666625,False
timit,hubert-large-en,13,km_256_mi,2.742650472225493,False
timit,hubert-large-en,13,km_512_mi,2.877760213285553,False
timit,hubert-large-en,13,km_1024_mi,2.995299613476725,False
timit,hubert-large-en,13,entropy,3.3947674978523117,False
timit,hubert-large-en,13,clf_mi,3.1247373742799627,False
timit,hubert-large-en,14,km_2_mi,0.008663713504351092,True
timit,hubert-large-en,14,km_4_mi,0.026673546130732993,True
timit,hubert-large-en,14,km_8_mi,0.05940474399691495,True
timit,hubert-large-en,14,km_16_mi,0.13451663082789742,True
timit,hubert-large-en,14,km_32_mi,0.2801487108639272,True
timit,hubert-large-en,14,km_64_mi,0.5431469197700187,True
timit,hubert-large-en,14,km_128_mi,0.9592063323586503,True
timit,hubert-large-en,14,km_256_mi,1.4679681032521212,True
timit,hubert-large-en,14,km_512_mi,2.0532331493315885,True
timit,hubert-large-en,14,km_1024_mi,2.6614958724536963,True
timit,hubert-large-en,14,entropy,6.438161419540647,True
